¿Qué significa esta señal?;Vía reservada para automóviles.;Calzada obligatoria para automóviles, excepto motocicletas sin sidecar.;Calzada obligatoria para automóviles.;Vía reservada para automóviles.
El chaleco reflectante. ¿Cuándo es obligatorio ponérselo?;Cuando salgo del vehículo en vías urbanas.;Cuando salgo del vehículo en autopistas y autovías solamente.;Cuando salgo del vehículo en vías interurbanas.;Cuando salgo del vehículo en vías interurbanas.
El vehículo rojo va a girar a la izquierda. ¿Puede circular por el arcén para adelantarlo por la derecha?;No, porque está prohibido circular por el arcén.;No, porque el camión no me deja ver.;Sí, porque es una intersección con prioridad.;No, porque está prohibido circular por el arcén.
Este ciclista...;debería circular lo más cerca posible del eje central de la calzada.;circula correctamente.;debería circular lo más cerca posible del eje central de la calzada.;circula correctamente.
Esta señal prohibe...;el estacionamiento los días impares, en el lado de la calzada \nen que está situada la señal.;el estacionamiento, pero sólo en los días pares.;la parada.;el estacionamiento los días impares, en el lado de la calzada \nen que está situada la señal.
La inscripción BUS dentro de un carril indica que es...;un carril destinado al estacionamiento de autobuses.;un carril reservado para la circulación de autobuses.;una zona de la vía reservada sólo a turismos y autobuses.;un carril reservado para la circulación de autobuses.
Con niebla densa, ¿qué luces antiniebla está obligado a utilizar un turismo?;La luz antiniebla trasera solamente.;La luz antiniebla trasera y la delantera si la tiene instalada.;La luz antiniebla delantera y la luz de largo alcance.;La luz antiniebla trasera solamente.
Si se realiza una reforma de importancia en el vehículo, ¿qué trámites se deben realizar?;Presentar el vehículo a inspección técnica extraordinaria antes de \nvolver a circular.;No es necesario realizar ninguna inspección, hasta que corresponda \npor razón de la antigüedad del vehículo.;No es necesario realizar una inspección técnica extraordinaria si la \nreforma se ha realizado en un taller autorizado.;Presentar el vehículo a inspección técnica extraordinaria antes de \nvolver a circular.
La señales de obras ...;tienen el mismo significado que las usadas en tramos sin obras.;tienen distinto símbolo y tamaño que las usadas en tramos sin obras.;establecen para los tramos de obras una reducción de la velocidad \nmáxima en 10 km/h.;tienen el mismo significado que las usadas en tramos sin obras.
Este panel se coloca debajo de una señal de peligro para indicar...;la longitud del tramo peligroso.;la distancia a la que comienza el peligro.;la distancia a la que termina el peligro.;la distancia a la que comienza el peligro.
¿Cuál es la función del sistema antibloqueo de frenos ABS?;Evita el bloqueo de las ruedas sólo en calzadas secas.;Hace que los neumáticos se desgasten menos.;Impide el bloqueo de las ruedas durante el frenado.;Impide el bloqueo de las ruedas durante el frenado.
¿Qué indica este panel bajo la señal de ceda el paso?;El lugar en el que hay que detenerse en la próxima intersección.;El sitio exacto donde hay que ceder el paso en la próxima intersección.;La distancia a la que se encuentra la señal de stop en la próxima intersección.;La distancia a la que se encuentra la señal de stop en la próxima intersección.
¿Es obligatorio llevar un extintor de incendios en un turismo destinado al servicio privado?;Sí.;No.;Sí, cuando transporte a más de 5 personas incluido el conductor.;No.
En un autobús cuyos asientos disponen de cinturón de seguridad es obligatorio que lo utilicen...;sólo los pasajeros mayores de tres años de edad, además del conductor.;todos los pasajeros.;sólo el conductor.;sólo los pasajeros mayores de tres años de edad, además del conductor.
Los conductores deben ceder el paso a los animales...;únicamente en las cañadas debidamente señalizadas.;siempre que se crucen sus trayectorias.;cuando vayan a girar con su vehículo para entrar en otra vía y \nhaya animales cruzándola, aunque no exista paso para éstos.;cuando vayan a girar con su vehículo para entrar en otra vía y \nhaya animales cruzándola, aunque no exista paso para éstos.
Circula de noche con las luces largas encendidas. Ve peatones en el arcén. ¿Está obligado a cambiar la luz larga por la corta?;No es necesario.;Sí, pero solamente en los tramos rectos.;Sí, para no deslumbrar;Sí, para no deslumbrar
Si circula en esta vía con tráfico denso, no puede cambiar de carril para ...;salir de la calzada.;adelantar.;girar a la derecha.;adelantar.
En esta vía, ¿a qué velocidad mínima está permitido circular con un turismo?;90 km/h.;A 45 km/h.;A 40 km/h.;A 45 km/h.
Un vehículo circula por el carril izquierdo, ¿está permitido adelantarle por la derecha?;No, el adelantamiento siempre se realizará por la izquierda.;Sí, siempre que haya varios carriles en el mismo sentido.;Sí, cuando los carriles están delimitados y la vía está dentro de poblado.;Sí, cuando los carriles están delimitados y la vía está dentro de poblado.
¿Qué indica esta señal?;Que en el carril central y en el izquierdo se deberá circular a 70 km/h como mínimo.;Que en el carril central y en el izquierdo está prohibido circular a más de 70 km/h.;Que en el carril de la derecha no se debe sobrepasar la velocidad de 70 km/h.;Que en el carril central y en el izquierdo se deberá circular a 70 km/h como mínimo.
¿Es recomendable regular y adaptar los reposacabezas del vehículo a la constitución física de los ocupantes?;Sí, porque es un elemento de seguridad que puede evitar lesiones en la zona cervical.;No es necesario porque es sólo un elemento de confort.;Sí, pero sólo en vías urbanas.;Sí, porque es un elemento de seguridad que puede evitar lesiones en la zona cervical.
Al auxiliar a una víctima de un accidente de tráfico, ¿debe darle alimentos o bebidas?;Sí, si lo piden.;No.;Alimentos no, pero bebidas sí.;No.
La señal ...;reitera la información dada por otra señal de peligro anterior.;indica la proximidad de un peligro distinto de los advertidos por otras señales.;indica la proximidad de un tramo con tráfico denso.;indica la proximidad de un peligro distinto de los advertidos por otras señales.
¿A qué velocidad máxima tiene permitido circular una autocaravana en una autovía?;A 120 km/h.;A 90 km/h.;A 100 km/h, pudiendo superarla en 20 km/h para adelantar.;A 120 km/h.
¿Qué indican estas marcas viales?;Prohibición de estacionar.;Zona de estacionamiento de duración limitada.;Zona de estacionamiento.;Zona de estacionamiento de duración limitada.
Las distracciones al volante...;causan muy pocos accidentes.;no causan accidentes.;causan una gran cantidad de accidentes.;causan una gran cantidad de accidentes.
Un camión, ¿puede entrar en una vía con esta señal?;Sí, en cualquier caso.;No, tiene siempre prohibido el paso.;Sí, siempre que no supere los 5.500 kilogramos de masa máxima autorizada.;Sí, siempre que no supere los 5.500 kilogramos de masa máxima autorizada.
En una zona señalizada para carga y descarga, ¿está permitido estacionar?;Sí, en cualquier caso.;No.;Sí, pero sólo fuera de las horas de utilización.;Sí, pero sólo fuera de las horas de utilización.
Si sobre el carril por el que circula hay un semáforo cuadrado con una flecha verde, ¿debe obedecer una señal de stop o de ceda el paso?;No, porque la flecha verde da prioridad de paso.;Sí.;No, porque el semáforo tiene prioridad sobre las señales verticales.;Sí.
Los asientos de un camión tienen cinturones de seguridad, ¿está obligado el conductor a utilizarlo?;No, en vías fuera de poblado.;No, en ningún tipo de vía.;Sí, en todas las vías.;Sí, en todas las vías.
¿Qué circunstancias del conductor favorecen la aparición de la fatiga?;Mantener una velocidad adecuada durante mucho tiempo, ya que requiere mucha concentración.;Conducir manteniendo los hábitos normales de conducción.;Conducir durante largos periodos sin parar o hacer descansos inadecuados.;Conducir durante largos periodos sin parar o hacer descansos inadecuados.
Si vende su vehículo ¿Debe comunicarlo a la prefectura de tráfico?;Sí, pero no hay un periodo obligatorio para comunicar la venta.;Sí. Ha de comunicar la venta en el plazo de 10 días e indicar los datos del nuevo titular.;No. El nuevo titular es el que ha de comunicar la compra.;Sí. Ha de comunicar la venta en el plazo de 10 días e indicar los datos del nuevo titular.
Un vehículo prioritario circula haciendo uso únicamente de las señales luminosas especiales, ¿es obligatorio facilitarle el paso?;No, si no utiliza también las señales acústicas especiales.;Sí, porque circula en servicio urgente.;No, en ningún caso.;Sí, porque circula en servicio urgente.
¿De qué tipo es la señal vertical de cadenas para nieve?;Señal de entrada prohibida;Señal de obligación;Señal de prioridad;Señal de obligación
¿Qué significado tienen las señales circulares de color rojo?;Prohibición;Precaución;Paso permitido;Prohibición
¿Qué prohibe la señal de media vuelta prohibida?;Dar un giro de 360 grados con el vehículo;Cambiar el sentido de la marcha;Girar a la izquierda;Cambiar el sentido de la marcha
¿Pueden los agentes inmovilizar un vehículo que supere los límites de humo establecidos?;No, cuando el vehículo es antiguo.;Sí.;No, cuando circula por carreteras.;Sí.
¿Cuándo debe llevar un conductor puesto el chaleco reflectante?;Cuando salga del vehículo y ocupe la calzada en vía únicamente urbana;Cuando salga del vehículo y ocupe la calzada en todo tipo de vías;Cuando salga del vehículo y ocupe la calzada en vía interurbana;Cuando salga del vehículo y ocupe la calzada en vía interurbana
¿Pueden los ciclistas, ir por el carril de la derecha en una carretera con desnivel y curvas?;Pueden utilizar el carril entero.;No, siempre deben utilizar el arcén.;Sí.;Sí.
El vehículo que aparece en la foto está destinado…;a servicios;a obras;a tareas agrícolas;a servicios
